epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,475.111,0.82357,0.46178,0.8645,0.96239,0.93371,0.97318,0.77077,0.74686,0.4294,0.83081,0.0011684,0.0011684,0.0011684
44,485.915,0.81441,0.45751,0.8595,0.96964,0.91906,0.9742,0.76657,0.75688,0.42375,0.83245,0.0011486,0.0011486,0.0011486
45,496.311,0.81832,0.45375,0.86337,0.96011,0.93995,0.97614,0.76296,0.76161,0.42827,0.83207,0.0011288,0.0011288,0.0011288
46,507.318,0.80964,0.45211,0.85954,0.95913,0.94502,0.97589,0.74887,0.79597,0.43061,0.83716,0.001109,0.001109,0.001109
47,517.928,0.80611,0.45001,0.86034,0.96975,0.93371,0.97658,0.77059,0.77932,0.42309,0.83408,0.0010892,0.0010892,0.0010892
48,528.415,0.79848,0.44603,0.8578,0.96867,0.93751,0.9774,0.78701,0.70779,0.40065,0.82537,0.0010694,0.0010694,0.0010694
49,538.943,0.7899,0.44488,0.8569,0.97178,0.9379,0.97804,0.76452,0.77787,0.41868,0.83609,0.0010496,0.0010496,0.0010496
50,549.497,0.77922,0.44233,0.85645,0.96893,0.93165,0.97413,0.74928,0.78094,0.42745,0.83672,0.0010298,0.0010298,0.0010298
51,560.078,0.78108,0.43938,0.85365,0.95362,0.94656,0.97707,0.76761,0.74778,0.40588,0.82594,0.00101,0.00101,0.00101
52,570.717,0.79109,0.43871,0.86015,0.96047,0.94891,0.97958,0.78546,0.71542,0.4026,0.82456,0.0009902,0.0009902,0.0009902
53,581.517,0.76413,0.42928,0.85473,0.96565,0.93906,0.97664,0.79026,0.6973,0.3885,0.82304,0.0009704,0.0009704,0.0009704
54,592.289,0.76201,0.42793,0.85751,0.96399,0.94907,0.97981,0.77544,0.72008,0.40519,0.82498,0.0009506,0.0009506,0.0009506
55,602.825,0.76203,0.42999,0.85101,0.97137,0.94399,0.97558,0.78007,0.70164,0.3938,0.82315,0.0009308,0.0009308,0.0009308
56,613.471,0.7428,0.41955,0.84848,0.97699,0.9382,0.97628,0.79263,0.69855,0.39076,0.821,0.000911,0.000911,0.000911
57,624.217,0.74963,0.42582,0.85118,0.97122,0.93654,0.9783,0.78246,0.69672,0.39705,0.81965,0.0008912,0.0008912,0.0008912
58,635.054,0.75076,0.42419,0.85034,0.9727,0.94039,0.98054,0.78851,0.71533,0.39028,0.82891,0.0008714,0.0008714,0.0008714
59,645.459,0.75619,0.42515,0.85018,0.97701,0.93924,0.97822,0.80657,0.68731,0.39066,0.81982,0.0008516,0.0008516,0.0008516
60,656.052,0.73271,0.41707,0.84231,0.96099,0.94399,0.97521,0.79258,0.70129,0.38861,0.82339,0.0008318,0.0008318,0.0008318
61,666.781,0.7321,0.41439,0.84811,0.97344,0.93371,0.9741,0.78827,0.70406,0.39701,0.82103,0.000812,0.000812,0.000812
62,677.505,0.74288,0.42122,0.84842,0.96964,0.93577,0.97546,0.78594,0.70058,0.38827,0.82139,0.0007922,0.0007922,0.0007922
63,688.445,0.73245,0.41559,0.84969,0.97022,0.93474,0.98007,0.80366,0.67731,0.38941,0.81879,0.0007724,0.0007724,0.0007724
64,699.19,0.72397,0.41083,0.84538,0.97152,0.94674,0.98104,0.79033,0.669,0.38197,0.81645,0.0007526,0.0007526,0.0007526
65,709.676,0.72616,0.41058,0.84714,0.97495,0.94016,0.97979,0.81208,0.66449,0.3741,0.8184,0.0007328,0.0007328,0.0007328
66,720.761,0.70899,0.40185,0.84552,0.9643,0.94142,0.97845,0.80877,0.67677,0.37417,0.81719,0.000713,0.000713,0.000713
67,732.514,0.70389,0.40081,0.84417,0.97249,0.94461,0.97867,0.80607,0.66099,0.36135,0.82002,0.0006932,0.0006932,0.0006932
68,743.483,0.70232,0.40004,0.84364,0.96571,0.94062,0.97643,0.79803,0.66403,0.37602,0.81578,0.0006734,0.0006734,0.0006734
69,754.247,0.70284,0.40149,0.84343,0.97504,0.94337,0.97934,0.80219,0.67027,0.37482,0.81526,0.0006536,0.0006536,0.0006536
70,764.896,0.68536,0.39529,0.83666,0.974,0.9433,0.97855,0.8101,0.64176,0.36055,0.81702,0.0006338,0.0006338,0.0006338
71,775.697,0.70446,0.39868,0.8437,0.96937,0.94329,0.97684,0.80598,0.65578,0.36492,0.8164,0.000614,0.000614,0.000614
72,786.4,0.68727,0.39041,0.83674,0.97764,0.94384,0.98049,0.81302,0.64582,0.35528,0.81878,0.0005942,0.0005942,0.0005942
73,797.138,0.69141,0.39098,0.84035,0.97174,0.94553,0.97955,0.81737,0.64465,0.3606,0.81366,0.0005744,0.0005744,0.0005744
74,808.047,0.66966,0.38417,0.84074,0.97544,0.94245,0.98034,0.82559,0.64124,0.35657,0.81546,0.0005546,0.0005546,0.0005546
75,818.403,0.68051,0.38773,0.83746,0.97012,0.94604,0.98002,0.8278,0.62138,0.35481,0.81175,0.0005348,0.0005348,0.0005348
76,828.118,0.67674,0.38695,0.83413,0.96991,0.94413,0.97957,0.82184,0.63205,0.35155,0.81312,0.000515,0.000515,0.000515
